"date.time","temp","date","year","doy","hour","tempcalib","climatetype"
"10/3/18 13:00",24.351,2018-10-03,"2018",276,"13",25.3279375,"arb7"
"10/3/18 14:00",21.091,2018-10-03,"2018",276,"14",22.0679375,"arb7"
"10/3/18 15:00",16.808,2018-10-03,"2018",276,"15",17.7849375,"arb7"
"10/3/18 16:00",16.141,2018-10-03,"2018",276,"16",17.1179375,"arb7"
"10/3/18 17:00",16.141,2018-10-03,"2018",276,"17",17.1179375,"arb7"
"10/3/18 18:00",15.76,2018-10-03,"2018",276,"18",16.7369375,"arb7"
"10/3/18 19:00",15.76,2018-10-03,"2018",276,"19",16.7369375,"arb7"
"10/3/18 20:00",15.569,2018-10-03,"2018",276,"20",16.5459375,"arb7"
"10/3/18 21:00",15.282,2018-10-03,"2018",276,"21",16.2589375,"arb7"
"10/3/18 22:00",15.282,2018-10-03,"2018",276,"22",16.2589375,"arb7"
"10/3/18 23:00",15.187,2018-10-03,"2018",276,"23",16.1639375,"arb7"
"10/4/18 0:00",15.091,2018-10-04,"2018",277,"0",16.0679375,"arb7"
"10/4/18 1:00",14.804,2018-10-04,"2018",277,"1",15.7809375,"arb7"
"10/4/18 2:00",14.421,2018-10-04,"2018",277,"2",15.3979375,"arb7"
"10/4/18 3:00",14.421,2018-10-04,"2018",277,"3",15.3979375,"arb7"
"10/4/18 4:00",14.517,2018-10-04,"2018",277,"4",15.4939375,"arb7"
"10/4/18 5:00",14.709,2018-10-04,"2018",277,"5",15.6859375,"arb7"
"10/4/18 6:00",14.709,2018-10-04,"2018",277,"6",15.6859375,"arb7"
"10/4/18 7:00",14.709,2018-10-04,"2018",277,"7",15.6859375,"arb7"
"10/4/18 8:00",15.091,2018-10-04,"2018",277,"8",16.0679375,"arb7"
"10/4/18 9:00",16.046,2018-10-04,"2018",277,"9",17.0229375,"arb7"
"10/4/18 10:00",17.379,2018-10-04,"2018",277,"10",18.3559375,"arb7"
"10/4/18 11:00",19.853,2018-10-04,"2018",277,"11",20.8299375,"arb7"
"10/4/18 12:00",20.043,2018-10-04,"2018",277,"12",21.0199375,"arb7"
"10/4/18 13:00",20.805,2018-10-04,"2018",277,"13",21.7819375,"arb7"
"10/4/18 14:00",20.901,2018-10-04,"2018",277,"14",21.8779375,"arb7"
"10/4/18 15:00",20.71,2018-10-04,"2018",277,"15",21.6869375,"arb7"
"10/4/18 16:00",20.329,2018-10-04,"2018",277,"16",21.3059375,"arb7"
"10/4/18 17:00",19.853,2018-10-04,"2018",277,"17",20.8299375,"arb7"
"10/4/18 18:00",19.758,2018-10-04,"2018",277,"18",20.7349375,"arb7"
"10/4/18 19:00",19.472,2018-10-04,"2018",277,"19",20.4489375,"arb7"
"10/4/18 20:00",19.377,2018-10-04,"2018",277,"20",20.3539375,"arb7"
"10/4/18 21:00",19.282,2018-10-04,"2018",277,"21",20.2589375,"arb7"
"10/4/18 22:00",19.187,2018-10-04,"2018",277,"22",20.1639375,"arb7"
"10/4/18 23:00",19.092,2018-10-04,"2018",277,"23",20.0689375,"arb7"
"10/5/18 0:00",18.806,2018-10-05,"2018",278,"0",19.7829375,"arb7"
"10/5/18 1:00",18.996,2018-10-05,"2018",278,"1",19.9729375,"arb7"
"10/5/18 2:00",18.806,2018-10-05,"2018",278,"2",19.7829375,"arb7"
"10/5/18 3:00",17.76,2018-10-05,"2018",278,"3",18.7369375,"arb7"
"10/5/18 4:00",16.808,2018-10-05,"2018",278,"4",17.7849375,"arb7"
"10/5/18 5:00",15.664,2018-10-05,"2018",278,"5",16.6409375,"arb7"
"10/5/18 6:00",14.709,2018-10-05,"2018",278,"6",15.6859375,"arb7"
"10/5/18 7:00",13.942,2018-10-05,"2018",278,"7",14.9189375,"arb7"
"10/5/18 8:00",13.942,2018-10-05,"2018",278,"8",14.9189375,"arb7"
"10/5/18 9:00",14.517,2018-10-05,"2018",278,"9",15.4939375,"arb7"
"10/5/18 10:00",14.804,2018-10-05,"2018",278,"10",15.7809375,"arb7"
"10/5/18 11:00",16.046,2018-10-05,"2018",278,"11",17.0229375,"arb7"
"10/5/18 12:00",14.23,2018-10-05,"2018",278,"12",15.2069375,"arb7"
