"date.time","temp","date","year","doy","hour","tempcalib","climatetype"
"10/3/18 12:44",24.255,2018-10-03,"2018",276,"12",25.033125,"arb13"
"10/3/18 13:44",21.76,2018-10-03,"2018",276,"13",22.538125,"arb13"
"10/3/18 14:44",15.951,2018-10-03,"2018",276,"14",16.729125,"arb13"
"10/3/18 15:44",15.569,2018-10-03,"2018",276,"15",16.347125,"arb13"
"10/3/18 16:44",15.76,2018-10-03,"2018",276,"16",16.538125,"arb13"
"10/3/18 17:44",15.282,2018-10-03,"2018",276,"17",16.060125,"arb13"
"10/3/18 18:44",15.091,2018-10-03,"2018",276,"18",15.869125,"arb13"
"10/3/18 19:44",15.091,2018-10-03,"2018",276,"19",15.869125,"arb13"
"10/3/18 20:44",14.9,2018-10-03,"2018",276,"20",15.678125,"arb13"
"10/3/18 21:44",14.9,2018-10-03,"2018",276,"21",15.678125,"arb13"
"10/3/18 22:44",14.9,2018-10-03,"2018",276,"22",15.678125,"arb13"
"10/3/18 23:44",14.9,2018-10-03,"2018",276,"23",15.678125,"arb13"
"10/4/18 0:44",14.613,2018-10-04,"2018",277,"0",15.391125,"arb13"
"10/4/18 1:44",14.421,2018-10-04,"2018",277,"1",15.199125,"arb13"
"10/4/18 2:44",14.325,2018-10-04,"2018",277,"2",15.103125,"arb13"
"10/4/18 3:44",14.325,2018-10-04,"2018",277,"3",15.103125,"arb13"
"10/4/18 4:44",14.421,2018-10-04,"2018",277,"4",15.199125,"arb13"
"10/4/18 5:44",14.421,2018-10-04,"2018",277,"5",15.199125,"arb13"
"10/4/18 6:44",14.421,2018-10-04,"2018",277,"6",15.199125,"arb13"
"10/4/18 7:44",14.709,2018-10-04,"2018",277,"7",15.487125,"arb13"
"10/4/18 8:44",15.855,2018-10-04,"2018",277,"8",16.633125,"arb13"
"10/4/18 9:44",16.903,2018-10-04,"2018",277,"9",17.681125,"arb13"
"10/4/18 10:44",18.616,2018-10-04,"2018",277,"10",19.394125,"arb13"
"10/4/18 11:44",20.329,2018-10-04,"2018",277,"11",21.107125,"arb13"
"10/4/18 12:44",20.805,2018-10-04,"2018",277,"12",21.583125,"arb13"
"10/4/18 13:44",21.473,2018-10-04,"2018",277,"13",22.251125,"arb13"
"10/4/18 14:44",20.805,2018-10-04,"2018",277,"14",21.583125,"arb13"
"10/4/18 15:44",20.234,2018-10-04,"2018",277,"15",21.012125,"arb13"
"10/4/18 16:44",19.948,2018-10-04,"2018",277,"16",20.726125,"arb13"
"10/4/18 17:44",19.758,2018-10-04,"2018",277,"17",20.536125,"arb13"
