"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","last.obs","yr.end","gdd.start","type"
"87762",52.544676,13.407079,"Tilia","americana",2016,111,115,290,366,46,"Treespotters"
"87762",52.544676,13.407079,"Tilia","americana",2017,101,107,301,365,46,"Treespotters"
"87762",52.544676,13.407079,"Tilia","americana",2018,117,122,234,365,46,"Treespotters"
"87762",52.544676,13.407079,"Tilia","americana",2019,109,111,243,365,46,"Treespotters"
"87763",40.029163,-75.174784,"Tilia","americana",2016,105,115,281,366,46,"Treespotters"
"87763",40.029163,-75.174784,"Tilia","americana",2017,106,107,234,365,46,"Treespotters"
"87763",40.029163,-75.174784,"Tilia","americana",2018,118,122,227,365,46,"Treespotters"
"87763",40.029163,-75.174784,"Tilia","americana",2019,111,111,244,365,46,"Treespotters"
"86290",40.741813,-85.170682,"Tilia","americana",2016,111,115,281,366,46,"Treespotters"
"86290",40.741813,-85.170682,"Tilia","americana",2017,107,113,234,365,46,"Treespotters"
"86290",40.741813,-85.170682,"Tilia","americana",2018,118,121,243,365,46,"Treespotters"
"86290",40.741813,-85.170682,"Tilia","americana",2019,109,114,244,365,46,"Treespotters"
"135911",NA,NA,"Fagus","grandifolia",2017,109,113,256,365,46,"Treespotters"
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2016,109,114,281,366,46,"Treespotters"
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,251,365,46,"Treespotters"
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters"
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,114,265,365,46,"Treespotters"
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2016,112,119,284,366,46,"Treespotters"
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,118,242,365,46,"Treespotters"
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,123,277,365,46,"Treespotters"
"85761",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,122,264,365,46,"Treespotters"
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2016,102,114,281,366,46,"Treespotters"
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,242,365,46,"Treespotters"
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2018,114,122,277,365,46,"Treespotters"
"85762",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,110,265,365,46,"Treespotters"
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2016,110,121,289,366,46,"Treespotters"
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,288,365,46,"Treespotters"
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,277,365,46,"Treespotters"
"85763",42.307153,-71.120872,"Betula","alleghaniensis",2019,112,122,265,365,46,"Treespotters"
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2016,102,114,260,366,46,"Treespotters"
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2017,102,117,253,365,46,"Treespotters"
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2018,114,121,277,365,46,"Treespotters"
"85764",41.816407,-88.054785,"Betula","alleghaniensis",2019,106,110,261,365,46,"Treespotters"
"86258",42.307153,-71.120872,"Betula","nigra",2016,114,132,281,366,46,"Treespotters"
"86258",42.307153,-71.120872,"Betula","nigra",2017,100,118,241,365,46,"Treespotters"
"86258",42.307153,-71.120872,"Betula","nigra",2018,125,125,294,365,46,"Treespotters"
"86258",42.307153,-71.120872,"Betula","nigra",2019,112,126,265,365,46,"Treespotters"
