"Ind","risk","budburst","leafout","Plot"
"ACEPEN_HF_12_12","21",110,131,12
"ACEPEN_WM_5_2","28",103,131,2
"ACEPEN_WM_5_5","28",103,131,5
"ACESPI_GR_4_7","21",103,124,7
"ACESPI_GR_4_10","21",103,124,10
"ACESPI_SH_2_7","28",110,138,7
"ACESPI_WM_1_7","21",103,124,7
"ALNINC_GR_1_3","17",107,124,3
"ALNINC_GR_1_5","25",103,128,5
"ALNINC_GR_11_1","17",107,124,1
"ALNINC_GR_11_15","21",103,124,15
"ALNINC_GR_11A_3","21",103,124,3
"ALNINC_GR_11B_3","21",103,124,3
"ALNINC_GR_8_3","17",107,124,3
"ALNINC_GR_8A_5","10",114,124,5
"ALNINC_GR_8B_5","17",107,124,5
"ALNINC_HF_1_1","14",114,128,1
"ALNINC_HF_2_1","10",114,124,1
"ALNINC_HF_5_6","18",110,128,6
"ALNINC_HF_8_12","14",110,124,12
"ALNINC_HF_9_6","10",114,124,6
"ALNINC_HF_9_15","12",110,122,15
"ALNINC_HF_9_2","18",110,128,2
"ALNINC_HF_9_9","18",110,128,9
"ALNINC_SH_1_12","18",110,128,12
"ALNINC_SH_1_1","21",103,124,1
"ALNINC_SH_4_15","14",110,124,15
"ALNINC_SH_4_2","17",107,124,2
"ALNINC_SH_5_2","10",114,124,2
"ALNINC_SH_5_3","10",114,124,3
"ALNINC_SH_6_5","17",107,124,5
"ALNINC_SH_8_9","21",103,124,9
"ALNINC_WM_1_1","10",114,124,1
"ALNINC_WM_2A_1","17",107,124,1
"ALNINC_WM_2B_1","21",103,124,1
"ALNINC_WM_5_1","10",114,124,1
"ALNINC_WM_5A_2","24",100,124,2
"ALNINC_WM_5B_2","14",114,128,2
"AMECAN_GR_10_6","21",103,124,6
"AMECAN_GR_10_2","28",96,124,2
"AMECAN_GR_10A_5","21",103,124,5
"AMECAN_GR_10A_3","31",93,124,3
"AMECAN_GR_10B_5","21",103,124,5
"AMECAN_GR_10B_3","28",96,124,3
"AMECAN_SH_2_6","21",110,131,6
"AMECAN_SH_3_15","21",103,124,15
"AMECAN_SH_4_6","21",103,124,6
"AMECAN_SH_4_5","28",96,124,5
"AMECAN_WM_1_2","31",93,124,2
"AROMEL_HF_10_8","28",96,124,8
"AROMEL_HF_4_8","24",100,124,8
"AROMEL_WM_15_4","28",96,124,4
"AROMEL_WM_2_4","24",100,124,4
"AROMEL_WM_5_11","28",96,124,11
"AROMEL_WM_7_8","28",96,124,8
"BETALL_GR_1_3","14",114,128,3
"BETALL_GR_12_1","10",114,124,1
"BETALL_GR_12_3","10",114,124,3
"BETALL_GR_13_1","14",114,128,1
"BETALL_GR_13_2","14",114,128,2
"BETALL_GR_13_15","28",103,131,15
"BETALL_GR_9_3","14",114,128,3
"BETALL_SH_2_6","14",110,124,6
"BETALL_SH_4_3","28",103,131,3
"BETALL_SH_4A_9","21",103,124,9
"BETALL_SH_4B_9","24",107,131,9
"BETALL_SH_5_6","21",110,131,6
"BETALL_SH_9_6","17",114,131,6
"BETALL_SH_9_9","18",110,128,9
"BETALL_WM_8_1","24",114,138,1
"BETALL_WM_8_9","28",103,131,9
"BETALL_WM_8A_5","28",103,131,5
"BETALL_WM_8A_12","32",110,142,12
"BETALL_WM_8B_5","18",110,128,5
"BETALL_WM_8B_12","42",96,138,12
"BETALL_WM_9_9","10",114,124,9
"BETALL_WM_9_5","17",114,131,5
"BETPAP_GR_5_1","81",103,184,1
"BETPAP_GR_5A_2","24",100,124,2
"BETPAP_GR_5B_2","35",103,138,2
"BETPAP_GR_8_12","14",110,124,12
"BETPAP_GR_8_3","21",103,124,3
"BETPAP_GR_8_6","21",110,131,6
"BETPAP_GR_8_5","39",96,135,5
"BETPAP_HF_16_3","14",110,124,3
"BETPAP_HF_16_12","14",110,124,12
"BETPAP_HF_16_5","17",107,124,5
"BETPAP_HF_16_2","21",103,124,2
"BETPAP_HF_16A_6","24",100,124,6
"BETPAP_HF_16B_6","21",103,124,6
"BETPAP_SH_1A_1","25",103,128,1
"BETPAP_SH_1B_1","17",107,124,1
"BETPOP_GR_3_6","21",103,124,6
"BETPOP_GR_5_1","10",114,124,1
"BETPOP_GR_5_6","14",110,124,6
"BETPOP_GR_5A_12","14",110,124,12
"BETPOP_GR_5A_3","21",103,124,3
"BETPOP_GR_5B_3","10",114,124,3
"BETPOP_GR_5B_12","14",110,124,12
"BETPOP_GR_5C_12","10",114,124,12
"BETPOP_HF_1_3","10",114,124,3
"BETPOP_HF_1_2","17",107,124,2
"BETPOP_HF_3_1","10",114,124,1
"BETPOP_HF_3A_6","17",107,124,6
"BETPOP_HF_3B_6","14",110,124,6
"BETPOP_HF_4_9","10",114,124,9
"BETPOP_HF_5_6","14",110,124,6
"BETPOP_HF_5_2","21",103,124,2
"BETPOP_WM_7_2","14",110,124,2
"BETPOP_WM_7_3","14",110,124,3
"BETPOP_WM_7_6","14",110,124,6
"BETPOP_WM_7_1","21",103,124,1
"BETPOP_WM_7_9","21",103,124,9
"BETPOP_WM_7_15","21",103,124,15
"BETPOP_WM_8_15","21",103,124,15
"BETPOP_WM_9_15","21",103,124,15
"BETPOPX_X_3","10",114,124,3
"DIELON_GR_5B_7","15",107,122,7
"DIELON_GR_5C_7","17",107,124,7
"DIELON_GR_8_13","21",103,124,13
"DIELON_HF_1B_7","29",93,122,7
"DIELON_HF_2_7","18",110,128,7
"DIELON_HF_2A_13","39",103,142,13
"DIELON_HF_2C_13","32",103,135,13
"DIELON_HF_3_7","12",110,122,7
"DIELON_HF_4_7","24",100,124,7
"DIELON_SH_2A_13","14",110,124,13
"DIELON_SH_2B_13","29",93,122,13
"DIELON_SH_4_7","17",107,124,7
"DIELON_SH_4_10","25",110,135,10
"DIELON_WM_7","14",110,124,7
"DIELON_WM_1A_13","36",86,122,13
"DIELON_WM_1B_13","21",103,124,13
"DIELON_WM_1C_13","14",110,124,13
"MYRGAL_GR_8A_4","15",116,131,4
"MYRGAL_GR_8B_4","15",116,131,4
"MYRGAL_GR_8C_4","10",114,124,4
"MYRGAL_GR_8D_4","14",114,128,4
"MYRGAL_SH_1_8","10",114,124,8
"MYRGAL_SH_1A_4","10",114,124,4
"MYRGAL_SH_2_8","8",116,124,8
"MYRGAL_SH_2A_4","10",114,124,4
"MYRGAL_SH_2B_4","8",116,124,4
"MYRGAL_WM_6A_8","10",114,124,8
"MYRGAL_WM_6A_11","10",114,124,11
"MYRGAL_WM_6A_4","17",114,131,4
"MYRGAL_WM_6B_4","10",114,124,4
"MYRGAL_WM_6B_8","14",110,124,8
"MYRGAL_WM_6B_11","21",103,124,11
"QUERUB_HF_9_5","21",103,124,5
"QUERUB_HF_99_5","17",114,131,5
"QUERUB_WM_9_9","22",116,138,9
"SAMRAC_GR_2_7","40",82,122,7
"SAMRAC_GR_4_10","60",64,124,10
"SAMRAC_GR_7_10","73",58,131,10
"SAMRAC_GR_7A_7","26",96,122,7
"SAMRAC_GR_7B_7","14",110,124,7
"SAMRAC_GR_8_13","64",58,122,13
"SAMRAC_GR_9_7","66",58,124,7
"SAMRAC_HF_A_10","66",58,124,10
"SAMRAC_HF_A_13","66",58,124,13
"SAMRAC_HF_B_10","66",58,124,10
"SAMRAC_HF_B_13","66",58,124,13
"SAMRAC_HF_C_13","38",86,124,13
"SAMRAC_HF_D_13","38",86,124,13
"SORAME_GR_9A_7","35",96,131,7
"SORAME_GR_9B_7","28",103,131,7
"SORAME_GR_9B_10","28",103,131,10
"SORAME_GR_9C_7","32",103,135,7
"SORAME_SH_1A_13","21",110,131,13
"SORAME_SH_1B_13","21",110,131,13
"SORAME_SH_3_7","21",110,131,7
"SORAME_SH_3A_10","24",114,138,10
"SORAME_SH_3B_10","7",124,131,10
"SPIALB_GR_12_4","33",89,122,4
"SPIALB_GR_12A_8","33",89,122,8
"SPIALB_GR_12B_8","31",93,124,8
"SPIALB_GR_3_8","26",96,122,8
"SPIALB_GR_3_4","31",93,124,4
"SPIALB_GR_5_8","28",96,124,8
"SPIALB_GR_7_4","31",93,124,4
"SPIALB_GR_9_8","29",93,122,8
"SPIALB_HF_1_4","29",93,122,4
"SPIALB_HF_10_11","28",96,124,11
"SPIALB_HF_2_8","31",93,124,8
"SPIALB_HF_3_8","26",96,122,8
"SPIALB_HF_4A_4","31",93,124,4
"SPIALB_HF_4A_11","31",93,124,11
"SPIALB_HF_4B_11","31",93,124,11
"SPIALB_HF_8_4","31",93,124,4
"SPIALB_SH_1_4","31",93,124,4
"SPIALB_SH_4A_4","29",93,122,4
"SPIALB_SH_4B_4","35",89,124,4
"SPIALB_SH_7_4","29",93,122,4
"SPIALB_SH_7A_8","26",96,122,8
"SPIALB_SH_7B_8","33",89,122,8
"SPIALB_SH_8_4","29",93,122,4
"SPIALB_SH_9A_4","29",93,122,4
"SPIALB_SH_9B_4","29",93,122,4
"SPIALB_WM_2A_4","28",96,124,4
"SPIALB_WM_2B_4","31",93,124,4
"SPIALB_WM_4A_11","29",93,122,11
"SPIALB_WM_4B_11","29",93,122,11
"SPIALB_WM_4C_11","29",93,122,11
"SPIALB_WM_5_11","14",110,124,11
"SPIALB_WM_7A_8","29",93,122,8
"SPIALB_WM_7A_4","31",93,124,4
"SPIALB_WM_7B_4","29",93,122,4
"SPIALB_WM_7B_8","35",93,128,8
"SPITOM_GR_1_8","21",103,124,8
"SPITOM_GR_1A_11","24",100,124,11
"SPITOM_GR_1B_11","24",100,124,11
"SPITOM_GR_2B_8","35",96,131,8
"SPITOM_GR_2C_8","31",93,124,8
"SPITOM_GR_2D_8","38",93,131,8
"SPITOM_GR_2E_8","38",93,131,8
"SPITOM_HF_13_8","21",103,124,8
"SPITOM_HF_4_8","31",93,124,8
"SPITOM_HF_5_11","28",114,142,11
"SPITOM_HF_6B_8","24",100,124,8
"SPITOM_HF_9A_8","22",100,122,8
"SPITOM_HF_9B_8","28",96,124,8
"SPITOM_SH_9_4","28",96,124,4
