"species","gdd","urban"
1,216.306479928733,0
1,216.313686871344,0
1,295.113310790096,1
1,226.763343820892,0
1,208.594676526168,0
1,294.770578337742,1
1,221.5317439212,0
1,291.902955124121,1
1,308.808359923965,1
1,303.516574057777,1
1,280.232328148093,1
1,277.049948197643,1
1,297.857332519565,1
1,227.995804120134,0
1,223.400199103584,0
1,293.318736914033,1
1,277.662742875062,1
1,293.300572068467,1
1,300.509830718698,1
1,211.950063420386,0
1,292.309816147266,1
1,296.256947519327,1
1,289.587877229666,1
1,286.216880507303,1
1,206.026877842878,0
1,285.028542013984,1
1,287.169436878051,1
1,310.298106145391,1
1,210.964171617427,0
1,311.777967389309,1
1,215.641692118579,0
1,208.156407205359,0
1,230.182224453322,0
1,308.940755229369,1
1,222.606109400634,0
1,237.502412957134,0
1,208.98019008467,0
1,296.543259287183,1
1,308.770818681638,1
1,272.262311056432,1
1,289.080363623643,1
1,289.74233608185,1
1,219.308485619528,0
1,212.914498082546,0
1,216.282602332585,0
1,292.479369659057,1
1,229.947237866118,0
1,226.809134682877,0
1,295.611651535558,1
1,304.040684048254,1
1,227.581239055984,0
1,279.174767273702,1
1,292.861617492838,1
1,215.554800756647,0
1,229.360632975413,0
1,285.847697333158,1
1,202.237946471134,0
1,223.084513780772,0
1,274.517808357949,1
1,204.692195675224,0
1,221.937556357182,0
1,292.660500150898,1
1,290.394420643629,1
1,226.649389225619,0
1,225.475065499823,0
1,239.629409121719,0
1,223.054973574527,0
1,211.767613621422,0
1,297.733339287042,1
1,280.673733962448,1
1,217.170866719229,0
1,300.28528119637,1
1,226.781608724122,0
1,225.79627272173,0
1,310.264731578314,1
1,207.170905814668,0
1,211.639419700146,0
1,286.197819429763,1
1,293.027143176401,1
1,303.052639511681,1
1,220.729812926656,0
1,306.990621067214,1
1,215.053618633844,0
1,232.832766821648,0
1,294.692327523502,1
1,291.191620323679,1
1,220.039783741286,0
1,214.476656195663,0
1,297.937557125659,1
1,306.920230217119,1
1,228.017320169211,0
1,228.528499690618,0
1,297.503610632357,1
1,282.948453955514,1
1,216.73875497315,0
1,298.889794409042,1
1,289.989826259169,1
1,296.544291852953,1
1,303.84756216461,1
1,223.314318971319,0
2,357.61431219995,1
2,363.25071944084,1
2,353.184837683346,1
2,283.409250751689,0
2,289.987928163798,0
2,274.124933759461,0
2,299.250481161884,0
2,358.261874367168,1
2,340.771383162543,1
2,342.29601008204,1
2,344.685097453203,1
2,289.534742719054,0
2,287.010183945294,0
2,300.512348287721,0
2,349.921411290886,1
2,369.215534844504,1
2,303.854916640107,0
2,291.636934069222,0
2,350.807189466689,1
2,293.215841439141,0
2,273.88376421423,0
2,289.886277813016,0
2,359.220209798086,1
2,350.139969815597,1
2,290.01770698139,0
2,281.028687494334,0
2,361.367847024257,1
2,288.200124435618,0
2,346.096549071907,1
2,364.89813804801,1
2,355.116156020705,1
2,360.234684457783,1
2,345.375947850033,1
2,294.389493440068,0
2,279.748161551191,0
2,304.05241904506,0
2,287.517214713224,0
2,301.278971878438,0
2,304.452657458279,0
2,273.890503311297,0
2,304.128261968152,0
2,339.546109907344,1
2,289.160214692838,0
2,277.9328561288,0
2,292.205610298533,0
2,355.531765343889,1
2,287.234014635666,0
2,339.255874792677,1
2,341.395438643607,1
2,291.357031972774,0
2,312.008364966838,0
2,353.452536891891,1
2,352.132121601625,1
2,350.027542457344,1
2,287.53222946297,0
2,313.286794677063,0
2,281.070572022171,0
2,273.100921663943,0
2,349.993396526843,1
2,335.078082669835,1
2,335.869328413059,1
2,344.491286855041,1
2,291.811522044403,0
2,295.512388152499,0
2,336.319073761587,1
2,360.846433894949,1
2,275.074809673619,0
2,298.633963710734,0
2,278.812088037645,0
2,323.809167336966,0
2,308.457246077465,0
2,352.753866408413,1
2,299.636501192856,0
2,355.459561862749,1
2,292.72267338014,0
2,358.158173426899,1
2,301.043877656618,0
2,343.034845771349,1
2,348.598803130983,1
2,281.133922056681,0
2,352.537677612704,1
2,294.613168494839,0
2,292.301321636265,0
2,345.42260067539,1
2,349.473051620027,1
2,345.407870392524,1
2,294.048724661303,0
2,352.007171156027,1
2,283.360043890969,0
2,295.371403112304,0
2,303.476928268004,0
2,333.104641564691,1
2,298.360379782641,0
2,362.893854315174,1
2,293.26660039529,0
2,283.301493814862,0
2,344.481190861175,1
2,307.589575208445,0
2,337.492578816762,1
2,285.245650667477,0
3,281.190060405269,0
3,342.197817154103,1
3,333.390878666658,1
3,333.330895141192,1
3,272.087338389234,0
3,340.13046996056,1
3,351.681219852834,1
3,284.542026244886,0
3,347.654351987759,1
3,262.034045530983,0
3,273.341120278177,0
3,280.277151800415,0
3,281.536338981583,0
3,357.202345167239,1
3,363.152666174416,1
3,254.298526826218,0
3,343.918970146367,1
3,265.578774852396,0
3,274.163473271593,0
3,291.189876764354,0
3,340.007651017254,1
3,349.290779945178,1
3,345.407216218562,1
3,289.184183904248,0
3,281.604329017697,0
3,352.412872713357,1
3,337.581715437465,1
3,285.936838157836,0
3,346.310355626142,1
3,284.38503539559,0
3,355.433146178066,1
3,272.073271096575,0
3,342.93876700207,1
3,341.733352943922,1
3,281.614167296809,0
3,330.839914170288,1
3,286.462957857012,0
3,272.51644987673,0
3,264.580299750101,0
3,346.306533813394,1
3,334.867935067112,1
3,351.054193568613,1
3,278.392410000207,0
3,270.779529570442,0
3,280.870021703153,0
3,267.859651130228,0
3,337.549640507761,1
3,324.731667438431,1
3,338.778562515057,1
3,267.042250703047,0
3,287.89307132431,0
3,346.421140131363,1
3,374.273701640716,1
3,279.008503192367,0
3,330.455987009451,1
3,283.391081467331,0
3,262.659224819166,0
3,290.967765562815,0
3,271.898695892035,0
3,274.762273180908,0
3,355.282359121106,1
3,267.033946259525,0
3,348.203799601128,1
3,353.055691403901,1
3,343.774714912601,1
3,355.487485699067,1
3,276.794987467248,0
3,320.818769920292,1
3,296.762071186259,0
3,263.305130077802,0
3,336.107001879072,1
3,266.34276426931,0
3,351.73194902671,1
3,336.528186605817,1
3,282.301746236279,0
3,343.56935771038,1
3,276.954288279837,0
3,333.251327633796,1
3,290.303729968055,0
3,275.604056101437,0
3,345.843897250686,1
3,255.862212489513,0
