"species","gdd","urban","provenance"
1,-2839.47576227556,1,35.6782340024883
1,-2280.78536177834,1,28.3719596434257
1,-3157.68800799511,1,40.2275064719669
1,-3064.84552821874,0,38.4166299786704
1,-2560.68847058507,0,34.4896927125494
1,-3952.12012759367,1,48.6703802446799
1,-2264.18669256355,1,29.9905375393402
1,-3237.33962295787,0,40.0593898595359
1,-2948.03888063326,0,38.2538798356255
1,-3237.89218799298,1,40.7165958257993
1,-4908.1801758199,1,58.0535724195552
1,-3963.41945389772,1,48.8796267838724
1,-3104.26168583042,0,41.5379426343714
1,-2509.39173536529,0,33.2824386168661
1,-2472.82656054667,1,30.9652400392678
1,-2640.76924195211,0,34.0337605188768
1,-2670.69226313404,1,33.7468356084025
1,-2987.50082423302,1,40.2127659999312
1,-3227.84163324459,1,40.0593898595359
1,-4712.58647992948,0,58.9114708881889
1,-2767.11559312642,1,33.594351425096
1,-2576.71751231796,0,34.647881085906
1,-3475.34411355551,0,43.5155068840626
1,-2867.38032949877,0,38.6597485173579
1,-4262.19601406685,1,51.0532227875299
1,-3541.45002214659,1,43.2779420221641
1,-2805.16444027347,1,36.1784215736225
1,-2473.77560327021,0,32.6355438661818
1,-3062.79788114918,1,37.4959877060662
1,-4731.20324174395,1,57.4695651751846
1,-4032.43741971481,0,50.7713458461493
1,-3966.53737673703,0,50.5932280243146
1,-4263.97930261615,1,51.3227159870745
1,-2583.76360118636,0,31.7146655680756
1,-2980.52535128094,1,37.3394151197333
1,-3380.42195100031,0,42.9705650863621
1,-2680.38660577149,1,35.116536505654
1,-4009.07933396386,0,51.2060615030379
1,-3763.95923205031,0,47.799651441297
1,-3535.88967802963,1,43.9935447952757
1,-2900.35970855268,0,39.4001429480171
1,-3096.77428018309,0,40.6683669204316
1,-3672.63261604756,1,45.5224152314063
1,-2812.17844201962,0,37.8088622015535
1,-1997.62258948987,0,28.3548712312354
1,-3188.40566696651,1,39.4001429480171
1,-3335.32348418136,1,40.3169763810205
1,-3213.70759104825,1,41.9329875613909
1,-4141.3215618504,1,51.2200483235962
1,-3150.75669879871,1,38.5722748934306
1,-3817.76589245986,1,48.4048479332624
1,-2875.06322986054,1,35.8317020101029
1,-4302.45069104932,0,56.0688915996006
1,-3274.5939260488,0,40.9740637865101
1,-4215.31142833052,0,53.9373082503859
1,-3171.21632026552,0,42.9832657141788
1,-3054.77573494523,0,38.5317702299636
1,-3013.92791014818,0,40.0593898595359
1,-4816.71411992816,0,60.570382310148
1,-2673.29488711954,1,33.594351425096
1,-1961.75161205618,0,27.3367293382688
1,-2926.62615142273,1,34.4112623164841
1,-2338.69571398532,1,31.7111476907046
1,-4096.73484122973,0,53.209658112774
1,-3886.51091281345,1,47.4705853111178
1,-4072.16164519064,1,50.9325961158108
1,-4231.6216950358,1,51.521422972699
1,-2961.52842528786,1,38.2538798356255
1,-2340.93081912406,1,28.5122482106111
1,-5505.20460362873,0,69.2567068966621
1,-3213.12922650408,0,40.7145199484524
1,-4197.16487201301,0,52.5701778660431
1,-4074.19285506788,0,51.0532227875299
1,-5000.40710892346,1,61.6940663306237
1,-2705.6706261134,1,32.9310509401734
1,-4110.97623346501,1,49.9968292270078
1,-3335.28690742134,0,42.9832657141788
1,-5001.60968390853,0,63.171197982749
1,-2292.48996071912,1,31.7653490819991
1,-2276.62810576065,0,30.2542592128649
1,-3493.47770434697,0,43.7001950952014
1,-4343.40290667311,0,54.8194266432444
1,-4837.27833741607,0,61.6224076301162
1,-3154.20046153301,0,39.8193285235387
1,-3367.99510620237,0,43.1618155125786
1,-3852.52055689794,1,48.3810693579681
1,-4765.91747973724,0,56.6569590811524
1,-3973.72950795952,0,48.9854875692331
1,-3816.02155911048,1,47.1536529098862
1,-2535.1536184016,1,32.7258745223755
1,-1846.05458917636,1,24.4636137730229
1,-4782.04644583005,0,59.2020431408761
1,-3524.49618325099,0,46.5169842237222
1,-3966.55623396728,0,49.8423632323141
1,-2404.08105805824,1,28.5122482106111
1,-2443.31791903613,0,32.715182954391
1,-3052.57051779855,0,40.5504074898799
1,-3658.37176922953,0,47.3218731675106
1,-2260.92441534004,0,28.1084032965052
1,-2866.94583072812,0,39.8193285235387
1,-3793.20646991627,0,47.1214739535275
1,-2270.01281571224,0,29.9905375393402
1,-3282.09141300555,0,41.5369170821999
1,-3862.36676486384,1,47.799651441297
