DATE,JULIAN,TREEID,CIRCUIT,BCON,BBRK,FBUD,FOPN,FPST,SEX,LENGTH,WIDTH,LFIN,L75,L95,TIP,COMMENTS,
4/1/19,91,AMSP-01,1,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/11/19,101,AMSP-01,1,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/17/19,107,AMSP-01,1,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/23/19,113,AMSP-01,1,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/29/19,119,AMSP-01,1,BB,15,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/6/19,126,AMSP-01,1,BB,98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwrs open,
5/11/19,131,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwrs going past,
5/16/19,136,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,flwrs done,
5/21/19,141,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/27/19,147,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/3/19,154,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/8/19,159,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/14/19,165,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/24/19,175,AMSP-01,1,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/1/19,91,FRAM-09,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
4/11/19,101,FRAM-09,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
4/17/19,107,FRAM-09,2,NS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
4/23/19,113,FRAM-09,2,MS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
4/29/19,119,FRAM-09,2,SS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
5/6/19,126,FRAM-09,2,MS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
5/11/19,131,FRAM-09,2,VS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
5/16/19,136,FRAM-09,2,VS,0,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
5/21/19,141,FRAM-09,2,BB,70,ND,0,0,ND,-99,-99,0,0,0,0,new fall 2017-now unhealthy,
5/27/19,147,FRAM-09,2,BB,100,ND,0,0,ND,-99,-99,13,0,0,0,new fall 2017-now unhealthy,
6/3/19,154,FRAM-09,2,BB,100,ND,0,0,ND,-99,-99,48,0,0,0,new fall 2017-now unhealthy,
6/8/19,159,FRAM-09,2,BB,100,ND,0,0,ND,-99,-99,55,25,0,0,new fall 2017-now unhealthy,
6/14/19,165,FRAM-09,2,BB,100,ND,0,0,ND,-99,-99,65,60,0,0,new fall 2017-now unhealthy,
6/24/19,175,FRAM-09,2,BB,100,ND,0,0,ND,-99,-99,78,80,60,0,new fall 2017-now unhealthy,
4/1/19,91,PRSE-01,3,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/11/19,101,PRSE-01,3,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/17/19,107,PRSE-01,3,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/23/19,113,PRSE-01,3,BB,95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/29/19,119,PRSE-01,3,BB,98,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/6/19,126,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/11/19,131,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/16/19,136,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/21/19,141,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/27/19,147,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/3/19,154,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/8/19,159,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/14/19,165,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/24/19,175,PRSE-01,3,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/1/19,91,ACRU-01,4,SS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/11/19,101,ACRU-01,4,SS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/17/19,107,ACRU-01,4,MS,0,VS,0,0,ND,-99,-99,0,0,0,0,,
4/23/19,113,ACRU-01,4,VS,0,BB,100,25,M,-99,-99,0,0,0,0,,
4/29/19,119,ACRU-01,4,VS,0,BB,100,100,M,-99,-99,0,0,0,0,,
5/6/19,126,ACRU-01,4,VS,0,BB,100,100,M,-99,-99,0,0,0,0,,
5/11/19,131,ACRU-01,4,BB,3,BB,100,100,M,-99,-99,0,0,0,0,,
5/16/19,136,ACRU-01,4,BB,5,BB,100,100,M,-99,-99,0,0,0,0,,
5/21/19,141,ACRU-01,4,BB,95,BB,100,100,M,-99,-99,8,0,0,0,,
5/27/19,147,ACRU-01,4,BB,100,BB,100,100,M,-99,-99,30,0,0,0,,
6/3/19,154,ACRU-01,4,BB,100,BB,100,100,M,-99,-99,65,60,15,S,,
6/8/19,159,ACRU-01,4,BB,100,BB,100,100,M,-99,-99,80,80,40,M,,
6/14/19,165,ACRU-01,4,BB,100,BB,100,100,M,-99,-99,90,80,85,M,,
6/24/19,175,ACRU-01,4,BB,100,BB,100,100,M,-99,-99,95,80,95,M,,
4/1/19,91,COAL-05,5,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/11/19,101,COAL-05,5,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/17/19,107,COAL-05,5,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/23/19,113,COAL-05,5,BB,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/29/19,119,COAL-05,5,BB,20,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
5/6/19,126,COAL-05,5,BB,95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
5/11/19,131,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
5/16/19,136,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
5/21/19,141,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
5/27/19,147,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
6/3/19,154,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
6/8/19,159,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
6/14/19,165,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
6/24/19,175,COAL-05,5,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,new tree 2009 (01 dead?),
4/1/19,91,AMSP-02,6,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/11/19,101,AMSP-02,6,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/17/19,107,AMSP-02,6,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/23/19,113,AMSP-02,6,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/29/19,119,AMSP-02,6,BB,25,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/6/19,126,AMSP-02,6,BB,95,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,no flwrs,
5/11/19,131,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/16/19,136,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/21/19,141,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
5/27/19,147,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/3/19,154,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/8/19,159,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/14/19,165,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
6/24/19,175,AMSP-02,6,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,
4/1/19,91,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/11/19,101,ACSA-01,7,NS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/17/19,107,ACSA-01,7,SS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/23/19,113,ACSA-01,7,VS,0,ND,0,0,ND,0,0,0,0,0,0,,
4/29/19,119,ACSA-01,7,BB,25,ND,0,0,ND,0,0,0,0,0,0,,
5/6/19,126,ACSA-01,7,BB,100,ND,0,0,ND,-99,-99,10,0,0,0,,
5/11/19,131,ACSA-01,7,BB,100,ND,0,0,ND,7,9,20,0,0,0,,
5/16/19,136,ACSA-01,7,BB,100,ND,0,0,ND,7,9,15,0,0,0,,
5/21/19,141,ACSA-01,7,BB,100,ND,0,0,ND,12,14,48,5,0,0,,
5/27/19,147,ACSA-01,7,BB,100,ND,0,0,ND,12,15,63,55,5,F,,
6/3/19,154,ACSA-01,7,BB,100,ND,0,0,ND,14,15,78,80,45,0,,
6/8/19,159,ACSA-01,7,BB,100,ND,0,0,ND,14,15,95,80,95,0,,
6/14/19,165,ACSA-01,7,BB,100,ND,0,0,ND,14,15,98,80,97,0,,
6/24/19,175,ACSA-01,7,BB,100,ND,0,0,ND,14,15,100,80,97,0,,
4/1/19,91,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/11/19,101,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/17/19,107,BELE-01,8,SS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/23/19,113,BELE-01,8,MS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/29/19,119,BELE-01,8,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/6/19,126,BELE-01,8,VS,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/11/19,131,BELE-01,8,BB,40,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/16/19,136,BELE-01,8,BB,50,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/21/19,141,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
5/27/19,147,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/3/19,154,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/8/19,159,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/14/19,165,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
6/24/19,175,BELE-01,8,BB,100,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,ice damage dec08,
4/1/19,91,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins stiff,
4/11/19,101,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins stiff,
4/17/19,107,BEAL-01,9,SS,0,NS,0,0,M,0,0,0,0,0,0,catkins(few) still stiff,
