DATE,  TREE ID,  TAG,FOPEN,FPAST,LF COLOR,LF FALL,CIRCUIT,COMMENTS,TOTAL LF
8/27/18,AMSP-01,PP003,-99,-99,3,0,1,,
8/27/18,FRAM-09,PP004A,-99,-99,0,0,2,new tree fall 2017,
8/27/18,PRSE-01,PP005,-99,-99,1,0,3,,
8/27/18,ACRU-01,PP008,-99,-99,2,0,4,,
8/27/18,AMSP-02,PP011,-99,-99,1,0,5,,
8/27/18,ACSA-01,PP012,-99,-99,0,0,6,,
8/27/18,BELE-01,PP013,-99,-99,0,0,7,ice storm damage,
8/27/18,BEAL-01,PP014,-99,-99,0,0,8,,
8/27/18,QURU-01,PP016,-99,-99,0,0,9,,
8/27/18,QUAL-05,PP019B,-99,-99,0,0,10,new tree 2005,
8/27/18,FAGR-01,PP020,-99,-99,0,0,11,,
8/27/18,ACPE-01,PP022,-99,-99,0,0,12,,
8/27/18,QUVE-01,PP024,-99,-99,0,0,13,ice storm damage,
8/27/18,BEPA-08,PP031A,-99,-99,0,0,14,new tree fall 2017,
8/27/18,ACRU-02,PP033,-99,-99,1,0,15,,
8/27/18,ACPE-02,PP035,-99,-99,0,0,16, ,
8/27/18,NYSY-04,PP037A,-99,-99,0,0,17,,
8/27/18,FAGR-07,PP039B,-99,-99,0,0,18,new tree spring 2017,
8/27/18,ACPE-03,PP040,-99,-99,0,0,19,,
8/27/18,BEAL-02,PP042,-99,-99,0,0,20,,
8/27/18,BELE-02,PP043,-99,-99,0,0,21,,
8/27/18,FAGR-06,PP046A,-99,-99,0,0,22,new tree 2004,
8/27/18,AMSP-03,PP056,-99,-99,0,0,23,,
8/27/18,NYSY-02,PP057,-99,-99,1,0,24,,
8/27/18,BEAL-03,PP059,-99,-99,0,0,25,,
8/27/18,NYSY-03,PP059A,-99,-99,7,1,26,,
8/27/18,QURU-02,PP061,-99,-99,0,0,27,,
8/27/18,ACRU-03,PP063,-99,-99,0,0,28,,
8/27/18,ACPE-04,PP067,-99,-99,3,0,29,,
8/27/18,QUVE-05,PP069A,-99,-99,0,0,30,new tree spring 2017,
8/27/18,ACRU-04,PP074,-99,-99,12,1,31,,
8/27/18,QUAL-02,PP075,-99,-99,0,0,32,,
8/27/18,BELE-03,PP079,-99,-99,0,0,33,,
8/27/18,QUVE-03,PP081,-99,-99,0,0,34,,
8/27/18,QUVE-04,PP083,-99,-99,0,0,35,,
