"","mean","25%","75%","2.5%","97.5%"
"$\mu_{\alpha}$","307.37","303.97","310.87","296.13","317.88"
"$\mu_{site}$","-19.23","-19.81","-18.64","-20.98","-17.5"
"$\mu_{method}$","0.27","-0.31","0.9","-1.47","1.92"
"$\mu_{sitexmethod}$","-0.41","-1.21","0.36","-2.59","1.87"
"$\sigma_{site}$","1.15","0.47","1.64","0.05","3.16"
"$\sigma_{method}$","1.03","0.46","1.47","0.05","2.65"
"$\sigma_{sitexmethod}$","0.77","0.3","1.1","0.02","2.33"
"$\sigma_{\alpha}$","21.55","18.47","23.96","14.96","31.33"
"$\sigma_{y}$","15.56","15.42","15.7","15.17","15.97"
"$N_{sp}$","15","","","",""
