"species","gdd","urban","method"
1,295.396228086967,1,0
1,261.429854554498,1,0
1,233.964652709581,0,1
1,381.185785798012,0,0
1,128.854079657593,1,1
1,209.736466202626,0,1
1,158.99890783764,1,1
1,340.286273354041,0,0
1,154.08517543964,1,1
1,260.59106700676,1,0
1,230.127299519772,0,1
1,215.902074643235,0,1
1,334.808606145383,0,0
1,358.623385979353,0,0
1,111.361853728842,1,1
1,360.810799502371,0,0
1,231.241807342727,0,1
1,197.55567356406,0,1
1,336.544433362241,0,0
1,242.764420227044,0,1
1,213.160232427367,0,1
1,138.145311064345,1,1
1,338.823657922708,0,0
1,244.588021512949,1,0
1,292.001248382367,1,0
1,253.383199577643,0,1
1,280.482300570281,1,0
1,140.069289381376,1,1
1,285.962577658831,1,0
1,331.242914116228,0,0
1,277.148122555824,1,0
1,144.756883177658,1,1
1,273.014096443916,1,0
1,208.035221898605,0,1
1,246.812332497087,1,0
1,215.625623100415,0,1
1,346.116478369923,0,0
1,315.901378878292,0,0
1,190.985015226731,0,1
1,287.049378809315,1,0
1,324.10293359556,0,0
1,200.679069682676,0,1
1,217.715556799994,0,1
1,140.236648911905,1,1
1,166.177700781944,1,1
1,141.115523106186,1,1
1,291.09064870975,1,0
1,345.311260350633,0,0
1,338.603009586602,0,0
1,279.758436924203,1,0
1,332.708751432677,0,0
1,287.860744344132,1,0
1,263.39830890193,1,0
1,295.849088344028,1,0
1,132.737147386248,1,1
1,137.549255316569,1,1
1,302.37227538222,0,0
1,311.29591068325,1,0
1,300.534188448778,1,0
1,271.720159442982,1,0
1,173.359148455303,1,1
1,155.816571120769,1,1
1,144.966211678995,1,1
1,314.397388934861,1,0
1,204.343476017318,0,1
1,169.780809563197,1,1
1,318.536295492708,0,0
1,148.381956099798,1,1
1,193.955796427121,0,1
1,234.513176469877,0,1
1,217.161458208648,0,1
1,234.225102839091,0,1
1,197.340274833442,0,1
1,135.775577005436,1,1
1,215.223598393953,0,1
1,215.189485832014,0,1
1,290.119672144056,1,0
1,290.857718624453,1,0
1,165.495047682375,1,1
1,150.990989025202,1,1
1,255.925969280874,1,0
1,290.519648333363,1,0
1,119.069149447851,1,1
1,327.814873107717,0,0
1,282.311483908066,1,0
1,262.448981755177,0,1
1,243.497493848965,1,0
1,324.785867169269,1,0
1,302.899385967235,0,0
1,281.9170852283,1,0
1,357.7485447827,0,0
1,290.006087985927,1,0
1,244.472667219913,0,1
1,152.434295565357,1,1
1,248.384516171429,1,0
1,289.993532248161,1,0
1,220.083928233112,0,1
1,335.375575993848,0,0
1,199.63691268505,0,1
1,247.354369753186,0,1
1,149.0037379613,1,1
1,319.205224114462,0,0
1,319.97764401762,0,0
1,345.289780414525,0,0
1,374.429274685001,0,0
1,278.490790061462,1,0
1,231.828158644416,0,1
1,215.778753894021,0,1
1,284.750660737714,1,0
1,181.678832044144,0,1
1,178.351016756163,1,1
1,182.013145539104,1,1
1,175.121397501216,1,1
1,233.816744996662,0,1
1,291.060593854528,0,0
1,226.484581548385,0,1
1,344.310451950598,0,0
1,293.598372201942,1,0
1,231.045672953547,0,1
1,336.166065186091,0,0
1,213.682997444029,0,1
1,193.114316730231,0,1
1,155.057823849541,1,1
1,124.857808788619,1,1
1,320.892014037483,0,0
1,207.18025514997,0,1
1,341.147294530118,0,0
1,297.43899501987,1,0
1,125.398544482157,1,1
1,326.228398300343,0,0
1,318.667388979164,0,0
1,210.867030657512,0,1
1,342.887919733134,0,0
1,301.03090638675,1,0
1,246.75929066092,0,1
1,287.681962105702,1,0
1,269.84012461869,1,0
1,202.710447583955,0,1
1,340.496427363253,0,0
1,244.859197286186,0,1
1,361.763790763863,0,0
1,316.910105312688,0,0
1,362.792205828202,0,0
1,368.945795521918,0,0
1,294.522666091079,1,0
1,264.361720643778,1,0
1,292.054867951437,1,0
1,158.468019110392,1,1
1,361.593238309155,0,0
1,253.839274138275,1,0
1,294.939063357895,1,0
1,293.043306005588,1,0
1,325.667004773449,0,0
1,229.938063270857,0,1
1,362.891711374129,0,0
1,122.130816986671,1,1
1,181.965299278185,1,1
1,166.21000969353,1,1
1,322.313131933426,0,0
1,287.472288784801,1,0
1,270.895563376222,1,0
1,277.518350871092,1,0
1,217.772781320731,0,1
1,260.594369613721,1,0
1,154.88532188669,1,1
1,331.643115910608,0,0
1,305.867216761213,0,0
1,333.219639834324,0,0
1,246.882304871663,1,0
1,146.121282898719,1,1
1,273.718689555364,1,0
1,335.912878522173,0,0
1,213.642517374773,0,1
1,235.588394580376,0,1
1,327.665412161003,0,0
1,170.432230907442,1,1
1,291.102278381368,1,0
1,192.319542360673,0,1
1,171.936544221697,1,1
1,305.847192086176,0,0
1,127.775532992906,1,1
1,212.512820800973,0,1
1,249.738022344714,0,1
1,209.216351453453,0,1
1,314.135651452756,0,0
1,163.029796798571,1,1
1,337.707738787352,0,0
1,305.85958227193,1,0
1,264.623884850848,1,0
1,301.334952835259,1,0
1,211.269436054178,0,1
1,328.50786615227,0,0
1,358.296639621447,0,0
1,365.335449679414,0,0
1,312.218802079934,1,0
1,201.890996808978,0,1
1,365.7443503762,0,0
1,351.471322644148,0,0
1,341.531597383799,0,0
1,277.905137439179,1,0
2,256.959936743921,0,1
2,405.310256170893,0,0
2,265.388305074522,0,1
2,274.330972250579,0,1
2,274.159691390684,0,1
2,397.919186653676,0,0
2,196.912322057839,1,1
2,174.53095518872,1,1
2,187.972525399563,1,1
2,304.059704023522,1,0
2,183.800796596777,1,1
2,296.649836060572,1,0
2,267.912755462133,0,1
2,381.68886256405,0,0
2,223.862854757783,1,1
2,186.287468479207,1,1
2,150.138258880893,1,1
2,198.886144341422,1,1
2,310.003994333577,1,0
2,399.916509853116,0,0
2,295.465529000921,0,1
2,309.260216318396,0,1
2,288.930927823983,0,1
2,353.974276419251,1,0
2,252.730708635831,0,1
2,316.943157423324,1,0
2,216.039536788362,1,1
2,239.567493016917,0,1
2,224.912349748841,0,1
2,397.483027817445,0,0
2,352.841069942387,1,0
2,390.491736044667,0,0
2,307.613714499675,1,0
2,313.761166272572,1,0
2,190.85571160718,1,1
2,368.405544963561,1,0
2,202.38793247789,1,1
2,409.140174103356,0,0
2,252.413813768353,1,1
2,199.74340543595,1,1
2,153.637251982328,1,1
2,322.933024836582,1,0
2,400.334833001167,0,0
2,414.057773262157,0,0
2,304.468790434631,0,1
2,256.986326626252,0,1
2,330.270621963908,1,0
2,390.305851382652,0,0
2,356.627249735687,1,0
2,294.171823738226,0,1
2,365.789134215353,0,0
2,366.549773550599,1,0
2,218.516848207374,1,1
2,189.601167021937,1,1
2,265.722387716995,0,1
2,262.497109356276,0,1
2,386.969116170949,0,0
2,416.648895328282,0,0
2,277.93119298312,0,1
2,247.463461736851,0,1
2,310.045366573335,1,0
2,337.342048936496,1,0
2,255.950469448106,0,1
2,381.943274667479,0,0
2,376.352182341248,0,0
2,223.781122144149,1,1
2,193.924044496727,1,1
2,227.312095716637,1,1
2,307.170333954537,1,0
2,233.982248506738,0,1
2,247.484236640605,0,1
2,377.817804366921,0,0
2,337.917962244735,1,0
2,310.748200113306,1,0
2,243.893827610272,0,1
2,250.626269104153,0,1
2,300.632350878208,1,0
2,283.725313151808,0,1
2,221.903296415823,1,1
2,271.274268257552,0,1
2,264.70321594123,1,0
2,224.812559070689,1,1
2,345.904771177835,1,0
2,220.544768162207,1,1
2,343.744659976415,1,0
2,336.323608461026,1,0
2,314.446014029402,1,0
2,336.960900582581,1,0
2,200.861333471505,1,1
2,390.9057906807,0,0
2,369.633440175363,0,0
2,236.21553589044,0,1
2,372.335736075151,0,0
2,394.9480967054,0,0
2,372.392383991894,0,0
2,430.38692520515,0,0
2,261.672745263972,0,1
2,204.16764616189,1,1
2,193.893504731158,1,1
2,186.757097061226,1,1
