"id","provenance.lat","provenance.long","genus","species","year","budburst","leafout","yr.end","gdd.start","type","climatetype","id_year_type","gdd_bb","gdd_dvr","fs.count"
"87762",52.544676,13.407079,"Tilia","americana",2016,111,115,366,46,"Treespotters","weldhill","87762;2016;weldhill",396.095553359684,61.0496808510638,0
"87762",52.544676,13.407079,"Tilia","americana",2017,101,107,365,46,"Treespotters","weldhill","87762;2017;weldhill",261.100434782609,99.2856382978723,0
"87762",52.544676,13.407079,"Tilia","americana",2018,117,122,365,46,"Treespotters","weldhill","87762;2018;weldhill",351.141877470356,72.2198936170213,0
"87762",52.544676,13.407079,"Tilia","americana",2019,109,111,365,46,"Treespotters","weldhill","87762;2019;weldhill",295.035,54.6269565217391,0
"87763",40.029163,-75.174784,"Tilia","americana",2016,105,115,366,46,"Treespotters","weldhill","87763;2016;weldhill",340.98337944664,115.155744680851,0
"87763",40.029163,-75.174784,"Tilia","americana",2017,106,107,365,46,"Treespotters","weldhill","87763;2017;weldhill",330.856086956522,36.9940425531915,0
"87763",40.029163,-75.174784,"Tilia","americana",2018,118,122,365,46,"Treespotters","weldhill","87763;2018;weldhill",366.747529644269,62.6851063829787,0
"87763",40.029163,-75.174784,"Tilia","americana",2019,111,111,365,46,"Treespotters","weldhill","87763;2019;weldhill",329.831956521739,16.2017391304348,0
"86290",40.741813,-85.170682,"Tilia","americana",2016,111,115,366,46,"Treespotters","weldhill","86290;2016;weldhill",396.095553359684,61.0496808510638,0
"86290",40.741813,-85.170682,"Tilia","americana",2017,107,113,365,46,"Treespotters","weldhill","86290;2017;weldhill",349.632608695652,62.0740425531915,0
"86290",40.741813,-85.170682,"Tilia","americana",2018,118,121,365,46,"Treespotters","weldhill","86290;2018;weldhill",366.747529644269,40.01,0
"86290",40.741813,-85.170682,"Tilia","americana",2019,109,114,365,46,"Treespotters","weldhill","86290;2019;weldhill",295.035,88.3382608695652,0
"135911",NA,NA,"Fagus","grandifolia",2017,109,113,365,46,"Treespotters","weldhill","135911;2017;weldhill",364.123913043478,38.4148936170213,0
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2016,109,114,366,46,"Treespotters","weldhill","85759;2016;weldhill",377.608596837945,75.0432978723404,0
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2017,102,117,365,46,"Treespotters","weldhill","85759;2017;weldhill",274.954347826087,171.710212765957,0
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2018,118,122,365,46,"Treespotters","weldhill","85759;2018;weldhill",366.747529644269,62.6851063829787,0
"85759",42.307153,-71.120872,"Betula","alleghaniensis",2019,107,114,365,46,"Treespotters","weldhill","85759;2019;weldhill",266.564565217391,106.915217391304,0
