"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20327934, SEN S/N: 20327934)"
10/3/18 12:46,23.869
10/3/18 13:46,22.812
10/3/18 14:46,15.855
10/3/18 15:46,15.569
10/3/18 16:46,15.76
10/3/18 17:46,15.187
10/3/18 18:46,14.996
10/3/18 19:46,14.996
10/3/18 20:46,14.9
10/3/18 21:46,14.709
10/3/18 22:46,14.613
10/3/18 23:46,14.517
10/4/18 0:46,14.325
10/4/18 1:46,14.038
10/4/18 2:46,14.038
10/4/18 3:46,14.134
10/4/18 4:46,14.23
10/4/18 5:46,14.23
10/4/18 6:46,14.23
10/4/18 7:46,14.613
10/4/18 8:46,15.664
10/4/18 9:46,16.903
10/4/18 10:46,18.616
10/4/18 11:46,20.043
10/4/18 12:46,21.187
10/4/18 13:46,21.569
10/4/18 14:46,20.615
10/4/18 15:46,20.234
10/4/18 16:46,19.853
10/4/18 17:46,19.853
10/4/18 18:46,19.472
10/4/18 19:46,19.567
10/4/18 20:46,19.567
10/4/18 21:46,19.567
10/4/18 22:46,19.472
10/4/18 23:46,18.521
10/5/18 0:46,18.331
10/5/18 1:46,18.426
10/5/18 2:46,17.379
10/5/18 3:46,16.427
10/5/18 4:46,15.187
10/5/18 5:46,14.23
10/5/18 6:46,13.461
10/5/18 7:46,13.076
10/5/18 8:46,13.365
10/5/18 9:46,14.038
10/5/18 10:46,15.282
10/5/18 11:46,13.654
10/5/18 12:46,14.709
10/5/18 13:46,14.325
10/5/18 14:46,13.654
10/5/18 15:46,13.365
10/5/18 16:46,12.69
10/5/18 17:46,11.431
10/5/18 18:46,10.063
10/5/18 19:46,9.373
10/5/18 20:46,9.077
10/5/18 21:46,8.978
10/5/18 22:46,9.275
10/5/18 23:46,7.983
10/6/18 0:46,8.082
10/6/18 1:46,7.481
10/6/18 2:46,7.179
10/6/18 3:46,7.381
10/6/18 4:46,7.782
10/6/18 5:46,8.382
10/6/18 6:46,8.779
10/6/18 7:46,9.373
10/6/18 8:46,12.207
10/6/18 9:46,13.269
10/6/18 10:46,14.517
10/6/18 11:46,15.569
10/6/18 12:46,16.332
10/6/18 13:46,16.999
10/6/18 14:46,16.713
10/6/18 15:46,16.046
10/6/18 16:46,15.569
10/6/18 17:46,14.9
10/6/18 18:46,14.709
10/6/18 19:46,15.76
10/6/18 20:46,15.282
10/6/18 21:46,15.187
10/6/18 22:46,15.091
10/6/18 23:46,15.282
10/7/18 0:46,15.569
10/7/18 1:46,15.664
10/7/18 2:46,15.76
10/7/18 3:46,15.855
10/7/18 4:46,16.046
10/7/18 5:46,16.332
10/7/18 6:46,16.618
10/7/18 7:46,17.475
10/7/18 8:46,18.711
10/7/18 9:46,20.901
10/7/18 10:46,21.855
10/7/18 11:46,23.484
10/7/18 12:46,23.966
10/7/18 13:46,24.448
10/7/18 14:46,23.773
10/7/18 15:46,20.138
10/7/18 16:46,17.95
10/7/18 17:46,15.951
10/7/18 18:46,15.473
10/7/18 19:46,15.473
10/7/18 20:46,14.325
10/7/18 21:46,14.23
10/7/18 22:46,14.421
10/7/18 23:46,14.421
10/8/18 0:46,14.421
10/8/18 1:46,14.325
10/8/18 2:46,14.325
10/8/18 3:46,14.134
10/8/18 4:46,13.75
10/8/18 5:46,13.269
10/8/18 6:46,12.69
10/8/18 7:46,12.594
10/8/18 8:46,12.594
