Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
85751,Aesculus flava,"12651*C, Tree 7",,,,0,,,,1906-07-01,,2015-04-01,,,,,https://mynpn.usanpn.org/images/d987a134b704a5c87dd7f9096af0b-30520.jpg,2018-06-12 09:00:03
85755,Aesculus flava,"12651*D, Tree 6",,,,0,,,,1906-07-01,,2015-04-01,,,,,https://mynpn.usanpn.org/images/1d1d8bba7e9e2f3fefcd5d7a583b5-30520.jpg,2018-06-12 08:59:16
85756,Aesculus flava,"12651*H, Tree 5",,,,0,,,,1906-07-01,,2015-04-01,,,,,https://mynpn.usanpn.org/images/834a2222ca457b23824db7e6d8c5cc5-30520.jpg,2018-06-12 08:58:24
85757,Aesculus flava,"12651*I, Tree 9",,,,0,,,,1906-07-01,,2015-04-01,,,,,https://mynpn.usanpn.org/images/f7bf69fae5393b8a55936e72bd37f3-30520.jpg,2018-06-12 08:44:50
85758,Aesculus flava,"925-79*B, Tree 4",,,,0,,,,1979-09-24,,2015-04-01,,,,,https://mynpn.usanpn.org/images/6a49cdb97e76f648cb2289bb23984ab0-30520.jpg,2018-06-12 08:53:52
85759,Betula alleghaniensis,"12843*A, Tree 6",,,,0,,,,1900-10-15,,2015-04-01,,,,,https://mynpn.usanpn.org/images/a5e7bb73bba7c302d5cb763198e783-30520.jpg,2018-06-12 08:14:10
85761,Betula alleghaniensis,"12843*D, Tree 7",,,,0,,,,1900-10-15,,2015-04-01,,,,,https://mynpn.usanpn.org/images/8ab6537e917eeb15c73697817b94ed32-30520.jpg,2018-06-12 08:16:22
85762,Betula alleghaniensis,"12843*E, Tree 9",,,,0,,,,1900-10-15,,2015-04-01,,,,,https://mynpn.usanpn.org/images/fdcf7e437d7c392cd7eec8c1cab976cc-30520.jpg,2018-06-12 08:27:09
85763,Betula alleghaniensis,"12843*H, Tree 8",,,,0,,,,1900-10-15,,2015-04-01,,,,,https://mynpn.usanpn.org/images/974733f5304a91412edcc023c271fb45-30520.jpg,2018-06-12 08:26:05
85764,Betula alleghaniensis,"629-83*D, Tree 10",,,,0,,,,1983-03-22,,2015-04-01,,,,,https://mynpn.usanpn.org/images/628ad38869b2afb877494f361f717a5-30520.jpg,2018-06-12 08:27:55
86258,Betula nigra,"1199*D, Tree 5",,,,0,,,,1900-07-17,Accession date: 7/17/1877,2015-04-02,,,,,https://mynpn.usanpn.org/images/5988cb6983a8a0c886d6fc57d5886eb1-30520.jpg,2018-06-12 07:49:37
86259,Betula nigra,"1251-79*A, Tree 3",,,,0,,,,1979-12-20,,2015-04-02,,,,,https://mynpn.usanpn.org/images/61ca0c41d2e264da636fec336f46e3-30520.jpg,2018-06-12 07:46:37
86260,Betula nigra,"1251-79*B, Tree 2",,,,0,,,,1979-12-20,,2015-04-02,,,,,https://mynpn.usanpn.org/images/d66ad516f5b6c685eff71ec866a38-30520.jpg,2018-06-12 07:43:58
86261,Betula nigra,"1199*J, Tree 1",,,,0,,,,1900-7-17,"Accession Date 7/17/1877, not 1900.",2015-04-02,,,,,https://mynpn.usanpn.org/images/f0a11bbb6c2b883ac1e2d73faea614-30520.jpg,2018-06-12 07:43:35
86262,Carya glabra,"20095*A, Tree 6",,,,0,,,,1911-07-01,,2015-04-02,,,,,https://mynpn.usanpn.org/images/9b761c4535c5472b3c996d693655151-30520.jpg,2018-06-12 09:11:56
86263,Carya glabra,"20098*A, Tree 8",,,,0,,,,1900-07-01,"Accession date 7/1/1883, not 1900",2015-04-02,,,,,https://mynpn.usanpn.org/images/b2c8135953db3f932ad93ade47eed-30520.jpg,2018-06-12 09:13:35
86264,Carya glabra,"6990*A, Tree 7",,,,0,,,,1909-12-29,,2015-04-02,,,,,https://mynpn.usanpn.org/images/dc702e1bdc2b731ab23511a783e51ecf-30520.jpg,2018-06-12 09:12:48
86265,Carya glabra,"2019*S, Tree 9",,,,0,,,,1900-10-19,"Accession date 10/19/1883, not 1900",2015-04-02,,,,,https://mynpn.usanpn.org/images/f1139dcb9d5ff4624df1c669d1b3-30520.jpg,2018-06-12 09:15:51
86266,Carya glabra,"2019*R, Tree 10",,,,0,,,,1900-10-19,"Accession date 10/19/1883, not 1900",2015-04-02,,,,,https://mynpn.usanpn.org/images/1264dd2af74f64b4980d8437e10f3d7-30520.jpg,2018-06-12 09:21:15
